bird_y,pipe_x,BIRD_VELOCITY,pipe_gap_y,reward
300,468,0,55,0.1
300,465,0,55,0.1
300,462,0,55,0.1
300,459,0,55,0.1
300,456,0,55,0.1
300,453,0,55,0.1
300,450,0,55,0.1
300,447,0,55,0.1
300,444,0,55,0.1
300,441,0,55,0.1
300,438,0,55,0.1
300,435,0,55,0.1
300,432,0,55,0.1
300,429,0,55,0.1
300,426,0,55,0.1
300,423,0,55,0.1
300,420,0,55,0.1
300,417,0,55,0.1
300,414,0,55,0.1
300,411,0,55,0.1
300,408,0,55,0.1
300,405,0,55,0.1
300,402,0,55,0.1
300,399,0,55,0.1
300,396,0,55,0.1
300,393,0,55,0.1
300,390,0,55,0.1
300,387,0,55,0.1
300,384,0,55,0.1
300,381,0,55,0.1
300,378,0,55,0.1
300,375,0,55,0.1
300,372,0,55,0.1
300,369,0,55,0.1
300,366,0,55,0.1
300,363,0,55,0.1
300,360,0,55,0.1
300,357,0,55,0.1
300,354,0,55,0.1
300,351,0,55,0.1
300,348,0,55,0.1
300,345,0,55,0.1
300,342,0,55,0.1
300,339,0,55,0.1
300,336,0,55,0.1
300,333,0,55,0.1
300,330,0,55,0.1
300,327,0,55,0.1
300,324,0,55,0.1
300,321,0,55,0.1
300,318,0,55,0.1
300,315,0,55,0.1
300,312,0,55,0.1
300,309,0,55,0.1
300,306,0,55,0.1
300,303,0,55,0.1
300,300,0,55,0.1
293,297,-7.5,55,0.1
286,294,-7.0,55,0.1
280,291,-6.5,55,0.1
274,288,-6.0,55,0.1
269,285,-5.5,55,0.1
264,282,-5.0,55,0.1
260,279,-4.5,55,0.1
256,276,-4.0,55,0.1
253,273,-3.5,55,0.1
250,270,-3.0,55,0.1
248,267,-2.5,55,0.1
246,264,-2.0,55,0.1
245,261,-1.5,55,0.1
244,258,-1.0,55,0.1
244,255,-0.5,55,0.1
244,252,0.0,55,0.1
245,249,0.5,55,0.1
246,246,1.0,55,0.1
248,243,1.5,55,0.1
241,240,-7.5,55,0.1
234,237,-7.0,55,0.1
228,234,-6.5,55,0.1
222,231,-6.0,55,0.1
